id	document	label
10265843	너무재밓었다그래서보는것을추천한다	0
9008700	걍인피니트가짱이다.진짜짱이다♥	1
6091784	재밋는뎅	1
7207064	재미있어요	1
1651126	최고	0
717775	심심한영화.	0
2332588	사랑하고싶게하는,가슴속온감정을헤집어놓는영화예요정말최고.	1
5679106	졸작	0
9875922	정말쓰레기영화입니다	0
1797212	서기가이뻐서	1
9361974	재미있는영화입니다.	1
7928957	클라라볼라고화신본거아닌데	0
7747745	킬링타임	0
7115568	대박	1
7469033	별점10점가자	1
3914806	별로다.	0
3685947	좋구나	1
2850477	볼만해;	0
7348295	아	0
7781028	10점	1
7047706	로큰롤!!!!!!!!!!!!!!	1
5249559	알바는꺼저라	0
8880577	4대2라니....최악	0
1870395	버려	0
1025241	화려한여정이인상깊어요ㅋㅋ재밋어요ㅋㅋ배두나연기정말잘해요ㅋ	1
8010423	이시간좀...밝고긍정적인드라마보고싶어서..보긴보는데....오버하는연기들이거슬리네요...연기인게너무표나요....홍혜정역이그나마도후련기도하고시원하고.....나머진다들답답하네요...낼월요일인데...해피한것만보고싶네요....	0
36087	감각적인..시각으로...바라보는..색다른...느낌의...사랑...문학적이	1
8055931	아진짜너무좋아요ㅜㅜ짱짱!!!	1
2523528	좋은영화	1
7124022	망함	0
6081437	굳굳	1
4913424	처ㅝ주	1
10212408	신선하네..,,..,,..	0
2092294	안습	0
5767948	재밌는데	1
5878347	솔직히	0
9465707	완전재미있어요.애들도보기에알맞는듯	1
7679615	잼	1
7448331	4대강	1
7538996	최고의영화	1
1033103	잘봤습니다	1
5080819	속편에서는주인공이전작처럼앨빈의밴드였으면좋았을것같다.캐릭터추가로더이상해진듯	0
3978509	즐~~~~~	0
8931143	키기키기키기키기키기	0
6438587	망작	0
6825866	끙.....	0
2828148	슬픈액션영화치고는실망이크다부자간의배신과원망으로끝나는것이너무허무하다	0
7117896	1	0
6478189	4	0
5043859	머가마술이라는거야?나죽기전에외계인만나볼수나있을지?	0
1185788	쓰레기영화	0
8824834	너무일찍슬픔을알게된제제가안쓰럽다..책으로읽고도눈물이났는데..영화도마찬가지다.어린나이의제제는슬픔을너무일찍알아버렸다	1
7287648	감독ㅡㅡ다신영화찍지마라	0
9364602	4.444.444.444.444.44	0
9713238	진짜재미없다..영화관에삼십분정도늦게들어갔는데사람이한명도없고..그이유를왠지알것같네..^^완전비추요	0
1600635	General	0
9109132	이게뭔가요내용도없고	0
765033	재밌다	1
4268313	짝퉁쓰래기	0
6730559	잼없네요넘	0
9355956	폭풍오열ㅠㅜㅠㅍ퓨ㅠ	1
9335640	쓰레기쓰레기쓰레기쓰레기쓰레기쓰레기쓰레기쓰레기	0
307912	절대비추.....	0
7726829	와...	0
7668668	존내재밋습네다	1
3059926	탁재훈나오믄재밌는데와이라지스토리중반부터너무쳐짐약해약해약해~지겨워뒈지는줄알	0
8014926	너무너무귀여운영화	1
3748749	재미잇음매우~~	1
10181517	구우우웃~~!!!!	1
6020106	재밌군	1
39563	좋네..괜찮고.	1
493092	좋았다	1
2110412	재밌따!!	1
7425748	ㅇㅇ	0
5990312	펑점조절	0
4793069	싸우자!	0
8045752	너무재밋당최지우연기잘한다^^♥	1
9478880	재밌습니돠다다다~~	1
4083134	쵝오	1
5890638	4	0
158150	무삭제판보셈..ㅋㅋ	0
3208927	빨리다음편도나와라ㅠ	1
6295584	지루하다..	0
3606446	억지...억지....	0
2062443	쵝오	1
3873139	반지의제왕	0
10245134	스타트랙보다100배재미있음	1
6166011	이영화정말별로다...니콜라스케이지연기만볼만함.	0
1702832	어?드라마두잇었네!일요일아침마다푹빠졌던.....................	1
7508856	최고!!	1
8566395	정말짱이에요!!진짜감동받을만큼눈물나게잘쓰셨네요~~별점십점드릴게요♡	1
1371296	재미무	0
6743493	ㅄ같은영화	0
7264399	패륜영화	0
7433295	2005년씨짘ㅋㅋㅋㅋㅋㅋ나올때마닼ㅋㅋㅋㅋㅋㅋ으헠ㅋㅋㅋ근데재밌어요	1
9829200	망해라임권택작품들.	0
767841	셀리아나웬디나똑같이예쁘던데?ㅋ오만과편견에나온게웬디였구나	1
3502685	최고	1
3292944	보지마	0
5137205	굿!	1
7533281	별루	0
6975973	왜만든지모르겟다.	0
7281167	씐나	1
1418821	영화보다나간적은처음..ㅠㅠ	0
5476246	아오....	0
9690312	아재밌당아재밌당아재밌당아재밌당아재밌당	1
8637817	좋은니다..^.,^~~	1
962769	재미없다...	0
7557376	글쎄...	0
7972639	어휴..	0
3800339	쓰렉	0
775332	최고	1
6947183	8점만들자	1
6975339	볼만함	1
10245886	짱짱!!!!♥♥♥♥	1
1088537	뻔한내용이지만...재밌었지...	1
2196647	재밌군..	1
10273108	굿굿ㅁㅇ굿굿굿ㅇㄴ굿굿ㅁㅇ굿굿굿뜨	1
6918082	dsa	1
7724293	재밌다.	1
4367777	웃스!	1
263537	괜히봤다	0
6373582	좋다...	1
9849238	초등학생조카랑보러갔는데재밌게봤어요^^	1
1964355	볼만	0
6182754	이런걸..영화라고.	0
8177820	뷰우우우우티이이이이풀	0
8009134	재밌다	1
3437487	좋았다..	1
3412704	굿	1
7816872	완점잼~!!!	1
5155694	재미없음	0
2211223	지루하다	0
9603144	개꿀잼ㅋ개꿀잼ㅋ10자	1
5668729	재미있었고초등학생인동생에게도재미있다는평점을받을만하다.	1
8997253	두번보고세번봐도재밌고신선한드라마..수능끝나면다시봐야지	1
6534366	허접	0
3600754	재미없다	0
1043429	볼만함	1
8197184	너무재밌게봤어요ㅜㅜ이런영화좋아!	1
6124369	같이울게햇으니까	1
7095375	♥♥♥	1
2743595	어릴때까진..........^^	1
3517549	최고	1
8511826	잼남ㅋㅋㅋ시간가는줄몰랐네여	1
7231463	시시하다.	0
4976311	완벽하다!	1
1994022	그지같다고!!!!!!	0
9533886	너무재밋다...눈을뗄수가없다...	1
7321399	재밌네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
3163129	장난치냐	0
399859	엔딩씬,음악외엔..상투적인..	0
7780184	재밋네	1
7656155	또보고싶은	1
8014145	OOO기	0
10016416	진짜볼만함!!@!@!	1
7726424	재미없을거같음	0
4042338	비추	0
6172302	정말후진드라마~~!후처또한벌받어야쥐남편아이가아닌다른사람아이를가진건불륜이징	0
6621957	몰떡몰떡	0
5132383	어이없게웃기고지기의아빠가왜나왔는지아직도의문,,날패닉상태로만든최악의영화	0
6101482	재밌다	1
384233	good	1
11012	으~~최악이다	0
5693940	이건뭥미	0
4766678	좋다	1
5981473	최고다	1
9506324	하나님살려주시지...	1
7070900	ㅎㅎ	1
7552798	좋아요....슬프고...ㅠㅠ	1
7030708	짱	1
1264036	꽤잼있음~~ㅋㅋ웃음짓게하는애니~	1
3257629	아..........ㅠㅠㅠㅠㅠ넘울었어	1
4034844	재밌음	1
6911461	완존재밌어	1
7160188	쓰래기	0
7927051	잼슴ㅇㅎ	1
5062764	아나	0
7081754	리얼리티감동	1
7545038	갑이다	1
10215835	재미있어요ㅎㅎ즐겁게잘보고가요ㅎ	1
6581922	죽을래?	0
5526911	막장ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
9267704	저런인격의소유자가아시안게임감독이라니지나가는개가웃겠다왜굴렁쇠소녀도벗기고정사씬만들지예술인데갑날게있나	0
5474739	아휴....	0
1087617	료코짱	1
6933759	좆잡고반성해라	0
8164419	일본판이더재미있음...	0
10108595	알파치노존멋영화도진짜끝내준다	1
7547014	짠하네요	1
9317820	1236547890	1
4376827	이건뭐..	0
3920345	청국장!!!!	1
5435950	2빠닼	1
884444	본사람만이얘기할수있다..마법사들,실비아...멋진..예술영화!	1
7910238	휴	1
7200792	마지막에어이없네왜죽어	0
7176721	기대된디	1
8619726	아바타같은소리하네..	0
5802225	최고	1
9463806	재밌었습니다!!!^0^)/ㅎㅎ	1
3926617	실망이다.	0
7272331	킬링타임용으로최고	1
4849659	읭...응?	0
9968790	못해도8점은되야지7점은아닌듯	1
7449459	ㅉㅉ	0
7658357	ㅜㅜ이기광님이연기를너무잘했어요!!진짜최고!!	1
4513766	존나쓰레기;	0
8434571	별덤높이기다디다디도러	1
1035617	보고싶다	0
5593536	재밌다........	1
3278032	볼만해요..	1
1934398	사랑한다.	1
3606612	야.	0
5056687	감동....................ㅜㅜ	1
6112010	나도별로	0
8988806	재미있습니다...ㅠㅠ//	1
7072389	주인공머싯고ㅋㅋ드럼라인끼리할때는진짜소름돋음...이런영화많이나왓으면좋겟음	1
9312455	좋아요...^^~~	1
6649473	역시	1
9102561	간만에쓰레기영화보네요ㅋ	0
3930084	돌아가시겠다	0
423224	^^	1
2905528	케로로완전간지난다	1
6550517	쓰레기ㅡㅡ	0
9788487	박평식-뚜껑열린다ㅋㅋㅋ	0
6164551	추억돋네	0
8453862	가나다라마바사아자차	0
1066765	만세-	1
473272	좋았어요^^	1
1853582	테러방지법...	0
5546457	재밌어요	1
7799915	대박	1
7720409	안보는걸추천	0
10272762	짜증난다짜증난다짜증난다괜히봤다.괜히	0
3645129	OOO	0
7471179	ㅋㅋㅋ	1
6049750	할말이없을정도로별로	0
8811106	로코좋아하는분께추천!	1
1501267	야동!!	1
4402439	이영하짱잼없음!!!!!!!!ㅡㅡ	0
9197016	Good,,,...	1
306197	진짜보지마세요-영화관가서돈주고보고후회100배!	0
1434361	좋은영화..	1
5162278	아무리..저예산이라지만...	0
2875125	세계카사노바가,,,,난대...영화배우,,,ㅋㅋㅋ	1
7748043	재밌었어요	1
7957379	.	1
7916532	1	0
5728322	에휴..........	0
7212328	배우들이아깝다	0
8359458	어..이..상..실	0
6575158	왜봣지?	0
9933678	안봤는데평점높아ㅠ이딴영화가	0
7880374	내용을말로표현못하게씀	0
6211377	캐스팅돋네ㅠㅠㅠ잘금사인방ㅠㅠㅠㅠㅠ	1
2807953	정말좋은영화죠항상보고싶어요^^	1
9676916	에수님ㅜㅠ♥우아아아아유ㅠㅜ	1
7556276	볼만했음	1
8329536	재미없다진짜진짜열자	0
9560028	허접허접허접허접허접허접	0
9217919	나래이션.바꿔주세요.무슨.다큐같애요	0
24435	나는지난번에비디오로스파이키즈를봣다스파이키즈3도봐야겟다	1
9337476	재미있네요.훌륭합니다	1
9839237	하하하핳하햐하핯하핳하하	0
5054797	자살을유도하는영화인듯전쟁과쓰레기같은사회를비판하는영화재미없다	0
5677345	영희느님ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ	1
8198880	좋다.,/,./,./	1
5792108	쩌는듯ㅇㅇ	1
1324059	별로다.	0
4158012	아하!	1
5993693	별로;;	0
1589431	.......코미디엿다ㅋㅋㅋㅋㅋㅋㅋ	0
10006601	일하기싫었나봐여ㅎㅅㅎ	0
7939851	ㅋㅋ구라찍는프로ㅋㅋㅋ존나호구들	0
9841351	구로자와아키라.구로자와아키라.10점만점	1
7287945	재밌있어요001요원	1
7882871	굿	1
10221125	하....시궁창입니다.	0
9434840	개노답...ㅉㅉㅉㅉ	0
7299645	재및음	1
6106644	그럭저럭임..	0
7053453	좋아여	1
7903744	오오	1
7562499	평점조절	0
9576628	표절?표절?표절?표절	0
66736	심하네.	0
8483240	보다가욕할뻔헸다진짜애니성우를뭐저따구로골른거야개나소나성우하게시바애니영화만들때재발제대로된성우좀쓰세요난뭔유아갓말띤줄알았다	0
9891811	진짜너무너무재밋고계속해서나왓으면ㅜㅜㅠ	1
6237495	재미없어요	0
5909412	최고~^^	1
5955277	재미쪙	1
9667042	하...너무슬프다	1
7498296	시간아까워	0
8134330	미친쓰레기영화그냥에로영화를찍으셈불쌍하지도않아서1점준다	0
6027031	까브리머싯씀ㅎㅎ	1
2192935	good	0
7126943	최고	1
7425917	대박!	1
1244261	에혀~	0
9990874	으으으으ㅡ으으으리리	1
5912069	뻔한스토리뻔한플롯평점왜이리높아..결정적으로돈꾸고안갚는게잘못이지추심원이뭔죄냐	0
304515	음	1
1260337	평이	0
1133825	쓸데없는장면이너무많다연기.스토리.감독나랑장난하니	0
6713764	하나도아까움	0
6726329	별로네요	0
6959675	?	1
10150688	goodgoodgoodgood	1
10111548	10자10자10자10자	1
4917281	평점낮추기!!!!!!!!!!	0
5174337	dkssud	1
5789491	재밋어요~	1
7985600	하하하...	0
5454446	지루	0
356093	원나잇스탠드를즐길수있다는사고방식과자유로운분위기맘에든다	1
1027999	재미있었는데	1
433830	재밌어요	1
9830190	최고ㅘ하하하하ㅏㅏㅏ핳	1
439692	잼난다..	1
3745693	재밌다	1
6398456	재미없다	0
6844541	나팔배우고싶어진다	1
3313101	잼있어요...	1
7718994	여름공식드라마	1
1762133	돈아깝다	0
6159776	안습	0
4124996	쓰레기...	0
3858495	...미치겠다	1
3016917	그냥병맛ㅋㅋㅋㅋ	0
7920955	3.6	0
7677417	별10개	1
7464944	오욈	0
5452516	?	0
135585	ㅋㅋ	0
6123380	너무잼있었음	1
8417053	여배우들이넘못생김....	0
7862848	토니죽지마ㅠㅠ..	1
3306949	최고다.	1
4039524	알파치노..	1
514102	명작...ㅎㅎ;	1
2060337	어이없다	0
56820	재밌나여?	0
544253	최수종과유동근의형제애에너무감동받은드라마	1
5986268	진짜재밌어요^^~♥	1
9501414	진짜재밋습니다~~bbbb	1
5430399	지송	0
6701404	가보자	0
7593679	진짜다시생각해도기억에팍남는..ㅠㅠ꼭ㅊ천	1
7226113	눈물나다.	0
9925041	그저그럼10글자임.	0
9734999	최악.10분보다가에잇하고끔돈4000원아깝다정말	0
7691208	굿입니당	1
9937861	별로야..,,,,..	0
8678531	디카프리오...bbb	1
3775597	와...	1
9971501	영화보고처음이자마지막으로눈물흘	1
2577650	이해가안되노	0
2200934	bad	0
7117918	ㅎ	1
1403313	굿	1
6088734	별로	0
392746	신선함	1
2205261	bad	0
2234127	독특한화면구성에별1개만준다........스토리최악	0
4186980	보고났더니기분이더러워졌다..잘만들었어	1
6812269	소재가좋았씀	1
7274727	ㅋ	1
5976660	장면장면모두예쁘다.사랑스럽다.소장하고싶다.	1
975027	레디~세또~던져라~부셔라~	1
6140341	블레이드시리즈는케이블티비에서많이해주는재미있는영화다	1
1372123	옥빈님짱	1
7648402	평점이너무높다	0
6781034	OO하네2	0
7533102	굿	1
8658721	완전짱재밋어요ㅋㅋ감자별화이팅!	1
7435540	재밌어요!!	1
10270444	감독아,안녕하시냐?	0
6830351	기분나쁜영화......	0
5541232	과연?ㅋㅋ	0
8039049	이제토요일마다뭐보지ㅜㅜ너무재미있는프로그램이였는데ㅜㅜㅜ	1
7765506	내인생최고에영화중하나!길이길이기억에가슴에남을것같습니다!이영화에나온모든분들,제작하신분들..정말감사드립니다!^^최고였습니다^^	1
4920691	즐	0
9868928	Fhjkkdrybb	1
9485847	출연진좀82좀올려주삼^^마마무짱	1
3788965	눈물	1
12058	자기네나라에서비디오로개봉이나하지무슨개봉은...우뢰매최고	0
4249665	ㅅ바............................................	0
4987371	원주율ㅋㅋ	0
4872543	넌센스다...	0
47085	영화의지루함보다더참기힘들었던건나를짜증나게만들던여주인공의얼굴과목소리였다	0
10271346	홀홀홀10점은드릴게	1
2041744	피크타임!!	0
9444900	Masterpiece	1
3277283	팔뚝산만하다	0
7872211	.......	1
3547625	돈이아까움ㅋ	0
158181	재밌었죠..	1
8937241	코난극장판통틀어최고♡	1
4172643	와우!	1
7657406	중국이OOO지	1
2102374	good	0
6581962	참은석이엄마라는사람참한심하고답답하고어떻게엄마라는사람이대책도없고무능하고자식을저지경으로만든나쁜것들한테대하는태도가분노도없고하여튼저게교양인지너무착해서인지지식을키우는엄마로써은석이엄마만보면화가치밀어오른다	0
1404642	환장하겠구만...	0
2401783	시시하네..	0
6563114	최고입니다!	1
6861901	따분하다.	0
30014	솔직합니다	0
5143022	잼있어요...	1
1839455	중국니들도다를건없다.일본에게당한역사중국보다한국이더심각했음	0
8715619	으리!으리!으리!으리!으리!	1
7124027	휴우...	0
8772611	평점이왜이래....	1
1097673	개키우는입장인데도-좋은점수를못주겠다.시시하고,지루하다	0
4623845	감명깊었다.	1
166691	쯧쯧...;;	0
4727194	즐ㄹㅋ	0
7917717	더러운영화	0
4271769	언제꺼임	0
7131270	♥	1
4098499	좋아요	1
9709085	일뽕꺼져노잼이야노잼	0
9413965	???화가난다....	0
33411	아무리그래도관객도생각좀하지..ㅡ.ㅡ넘..작가주의..	0
8557483	박한별연기너무못하셔서오글오글..ㅜㅜ	0
8901025	이영화정성룡이좋아하겠네	0
190750	당연	1
1417063	좋다	1
8221639	공감가네.누구나어려운때가있었지	1
7487264	-_-^	0
